code,count,base,suffix,base_in_known,examples
TAX_DISEASE_COVID_19,5,TAX_DISEASE_COVID,19,False,https://www.dailyexpress.com.my/news/269891/new-grs-mandate-crucial-hajiji/ | https://indianexpress.com/article/technology/artificial-intelligence/how-ai-and-social-media-contribute-to-brain-rot-10350677/ | https://www.theleader.com.au/story/9106443/david-khoury-wins-frank-fenner-prize-for-science/
TAX_DISEASE_COVID,1,TAX_DISEASE,COVID,True,https://news4sanantonio.com/news/local/local-businesses-optimistic-as-propositions-a-and-b-promise-boost-for-downtown-river-walk
