code,count,base,suffix,base_in_known,examples
TAX_DISEASE_COVID,4,TAX_DISEASE,COVID,True,https://finance.yahoo.com/news/popular-coffee-chain-closing-headquarters-163420676.html | https://www.francesoir.fr/societe-science-tech/scientific-integrity-exposed-scienceguardianstm-publishes-its-explosive | https://cdispatch.com/opinions/froma-harrop-mamdani-starts-to-deflate/
TAX_DISEASE_COVID_19,4,TAX_DISEASE_COVID,19,False,https://www.wuwf.org/florida-news/2025-11-18/soaring-health-care-costs-stun-florida-workers-who-buy-insurance-through-aca | https://www.finanznachrichten.de/nachrichten-2025-11/67012224-hemostemix-inc-hemostemix-to-showcase-breakthrough-wound-healing-therapy-at-innovations-in-wound-care-conference-florida-296.htm | https://www.finanznachrichten.de/nachrichten-2025-11/67012224-hemostemix-inc-hemostemix-to-showcase-breakthrough-wound-healing-therapy-at-innovations-in-wound-care-conference-florida-296.htm
